,description
0,"Cornstarch represents 381.0 calories. It contains 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00047 grams of iron, as well as 0.0 grams of sugars and 91.27 grams of carbohydrates."
1,"Nuts, pecans reflects 691.0 calories. Nutritionally, it includes 72.0 grams of fat, 0.0 grams of cholesterol, and 0.0025299999999999997 grams of iron, along with 3.97 grams of sugars and 13.86 grams of carbohydrates."
2,"In Eggplant, raw, you get 25.0 calories. The nutritional content includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.00023 grams of iron. There are also 3.53 grams of sugar and 5.88 grams of carbs."
3,"Teff, uncooked contains 367.0 calories. It has 2.4 grams of fat, 0.0 grams of cholesterol, and 0.00763 grams of iron, plus 1.84 grams of sugars and 73.13 grams of carbohydrates."
4,"Sherbet, orange displays 144.0 calories. Nutritionally, it includes 2.0 grams of fat, 0.001 grams of cholesterol, and 0.00014000000000000001 grams of iron, along with 24.32 grams of sugars and 30.4 grams of carbohydrates."
5,"Cauliflower, raw equals 25.0 calories. Nutritionally, it includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.00041999999999999996 grams of iron, along with 1.91 grams of sugars and 4.97 grams of carbohydrates."
6,"Taro leaves, raw packs 42.0 calories. It has 0.7 grams of fat, 0.0 grams of cholesterol, and 0.00225 grams of iron, as well as 3.01 grams of sugars and 6.7 grams of carbohydrates."
7,"Lamb, raw, ground registers 282.0 calories. It contains 23.0 grams of fat, 0.073 grams of cholesterol, and 0.00155 grams of iron, as well as 0.0 grams of sugars and 0.0 grams of carbohydrates."
8,"The food item Cheese, camembert provides 300.0 calories. You can find 24.0 grams of fat, 0.072 grams of cholesterol, and 0.00033 grams of iron. It also contains 0.46 grams of sugars and 0.46 grams of carbohydrates."
9,"Vegetarian fillets contains 290.0 calories. In terms of nutrition, it has 18.0 grams of fat, 0.0 grams of cholesterol, and 0.002 grams of iron. Additionally, it includes 0.8 grams of sugar and 9.0 grams of carbs."
10,"PACE, Picante Sauce shows 25.0 calories. The nutritional breakdown includes 0.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 6.25 grams of sugars and 6.25 grams of carbohydrates."
11,"Goji berries, dried holds 349.0 calories. It contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.0068 grams of iron, along with 45.61 grams of sugars and 77.06 grams of carbohydrates."
12,"Mango nectar, canned carries 51.0 calories. It has 0.1 grams of fat, 0.0 grams of cholesterol, and 0.00035999999999999997 grams of iron, as well as 12.45 grams of sugars and 13.12 grams of carbohydrates."
13,"Crackers, rusk toast boasts 407.0 calories. The nutritional content includes 7.2 grams of fat, 0.078 grams of cholesterol, and 0.00272 grams of iron, as well as 0.0 grams of sugars and 72.3 grams of carbohydrates."
14,"For 215.0 calories, Chicken, boiled, feet provides 15.0 grams of fat, 0.084 grams of cholesterol, 0.00091 grams of iron, 0.0 grams of sugars, and 0.2 grams of carbohydrates."
15,"Quail, raw, meat only features 134.0 calories. The nutritional profile includes 4.5 grams of fat, 0.07 grams of cholesterol, and 0.00451 grams of iron, along with 0.0 grams of sugars and 0.0 grams of carbohydrates."
16,"Pie, lemon, fried pies tallies 316.0 calories. The nutritional profile includes 16.0 grams of fat, 0.0 grams of cholesterol, and 0.00122 grams of iron, along with 0.0 grams of sugars and 42.6 grams of carbohydrates."
17,"Peppers, raw, jalapeno accounts for 29.0 calories. Nutritionally, it contains 0.4 grams of fat, 0.0 grams of cholesterol, and 0.00025 grams of iron, along with 4.12 grams of sugars and 6.5 grams of carbohydrates."
18,"Winged bean tuber, raw provides 148.0 calories. It contains 0.9 grams of fat, 0.0 grams of cholesterol, and 0.002 grams of iron, as well as 0.0 grams of sugars and 28.1 grams of carbohydrates."
19,"Salami, turkey, cooked holds 172.0 calories. It contains 9.2 grams of fat, 0.076 grams of cholesterol, and 0.00125 grams of iron, along with 1.12 grams of sugars and 1.55 grams of carbohydrates."
20,"Grapes, raw, muscadine shows 57.0 calories. The nutritional breakdown includes 0.5 grams of fat, 0.0 grams of cholesterol, and 0.00026000000000000003 grams of iron, along with 0.0 grams of sugars and 13.93 grams of carbohydrates."
21,"Nuts, raw, ginkgo nuts displays 182.0 calories. Nutritionally, it includes 1.7 grams of fat, 0.0 grams of cholesterol, and 0.001 grams of iron, along with 0.0 grams of sugars and 37.6 grams of carbohydrates."
